Prices,Predict value,Status,IN&DEC
31815.82,31794.73273885852,sell,-42.17452228295588
31785.0,31789.866369429263,neutral,9.73273885852177
31727.88,31758.873184714634,Buy,61.986369429261686
31748.32,31753.596592357317,neutral,10.553184714633971
31734.68,31744.13829617866,Buy,18.916592357316404
31775.12,31759.629148089327,sell,-30.98170382134049
31701.5,31730.564574044663,Buy,58.12914808932692
31659.78,31695.17228702233,Buy,70.78457404466462
31714.1,31704.636143511165,sell,-18.927712977667397
31747.34,31725.988071755582,sell,-42.7038564888353
31819.87,31772.92903587779,sell,-93.88192824441649
31961.31,31867.119517938896,sell,-188.38096412221057
32012.96,31940.039758969448,sell,-145.8404820611031
32123.01,32031.52487948472,sell,-182.97024103055082
32120.01,32075.76743974236,sell,-88.48512051527723
32038.35,32057.05871987118,Buy,37.41743974236306
32031.58,32044.31935993559,Buy,25.478719871178328
32003.9,32024.109679967798,Buy,40.419359935589455
31997.53,32010.8198399839,Buy,26.579679967799166
31946.69,31978.75491999195,Buy,64.12983998389973
31939.44,31959.097459995974,Buy,39.314919991949864
31855.05,31907.07372999799,Buy,104.04745999597435
31873.35,31890.211864998993,Buy,33.72372999798972
31900.0,31895.105932499497,neutral,-9.788135001006594
31840.62,31867.862966249748,Buy,54.48593249949772
31889.91,31878.886483124872,sell,-22.047033750252012
31981.82,31930.353241562436,sell,-102.93351687512768
31878.9,31904.62662078122,Buy,51.453241562434414
31820.69,31862.65831039061,Buy,83.93662078121997
31779.33,31820.994155195305,Buy,83.32831039060693
31749.32,31785.15707759765,Buy,71.6741551953055
31791.01,31788.083538798826,neutral,-5.852922402347758
31825.83,31806.956769399414,sell,-37.74646120117541
31814.0,31810.47838469971,neutral,-7.043230600585957
31824.91,31817.694192349853,neutral,-14.431615300291014
31806.56,31812.127096174925,neutral,11.134192349851219
31823.7,31817.91354808746,neutral,-11.572903825075628
31799.92,31808.91677404373,Buy,17.99354808746284
31754.9,31781.908387021867,Buy,54.01677404372822
31760.79,31771.349193510934,Buy,21.11838702186651
31747.89,31759.619596755467,Buy,23.45919351093471
31760.15,31759.884798377734,neutral,-0.530403244534682
31745.54,31752.712399188866,neutral,14.344798377733241
31745.99,31749.351199594435,neutral,6.722399188864074
31760.24,31754.795599797217,neutral,-10.888800405566144
31744.83,31749.81279989861,neutral,9.965599797214963
31763.04,31756.426399949305,neutral,-13.227200101391645
31729.98,31743.203199974654,Buy,26.446399949305487
31780.0,31761.601599987327,sell,-36.796800025345874
31756.27,31758.935799993662,neutral,5.331599987326626
31764.6,31761.76789999683,neutral,-5.664200006336614
31783.87,31772.818949998415,sell,-22.102100003168744
31835.16,31803.98947499921,sell,-62.341050001585245
31868.7,31836.344737499603,sell,-64.71052500079168
31822.47,31829.407368749802,neutral,13.874737499601906
31860.73,31845.0686843749,sell,-31.322631250197446
31818.27,31831.66934218745,Buy,26.798684374898585
31862.9,31847.284671093727,sell,-31.230657812549907
31883.08,31865.182335546866,sell,-35.795328906275245
31868.28,31866.731167773432,neutral,-3.097664453132893
31846.72,31856.725583886717,Buy,20.011167773431225
31858.54,31857.63279194336,neutral,-1.8144161132840964
31815.06,31836.346395971683,Buy,42.572791943359334
31916.49,31876.41819798584,sell,-80.1436040283188
31850.01,31863.214098992918,Buy,26.40819798584198
31830.53,31846.87204949646,Buy,32.684098992918734
31816.23,31831.55102474823,Buy,30.64204949645864
31865.94,31848.745512374117,sell,-34.38897525176799
31958.59,31903.66775618706,sell,-109.84448762588363
31948.46,31926.06387809353,sell,-44.79224381293898
32092.05,32009.056939046764,sell,-165.98612190646963
32103.13,32056.09346952338,sell,-94.07306095323656
31998.36,32027.22673476169,Buy,57.733469523380336
31930.46,31978.843367380847,Buy,96.76673476169162
31872.19,31925.516683690425,Buy,106.65336738084807
31788.83,31857.173341845213,Buy,136.6866836904228
31714.59,31785.88167092261,Buy,142.583341845213
31785.65,31785.765835461305,neutral,0.23167092260700883
31740.81,31763.287917730653,Buy,44.95583546130365
31746.86,31755.073958865327,Buy,16.427917730652553
31763.84,31759.456979432664,neutral,-8.766041134673287
31825.81,31792.633489716332,sell,-66.35302056733781
31850.0,31821.316744858166,sell,-57.366510283667594
31795.78,31808.548372429083,Buy,25.536744858167367
31925.82,31867.18418621454,sell,-117.27162757091719
31898.55,31882.86709310727,sell,-31.36581378545816
32037.33,31960.098546553636,sell,-154.46290689273155
32158.94,32059.51927327682,sell,-198.84145344636272
32079.71,32069.61463663841,sell,-20.190726723179978
32049.22,32059.417318319203,Buy,20.394636638407974
32082.97,32071.193659159602,sell,-23.552681680797832
32084.67,32077.9318295798,neutral,-13.476340840396006
32086.61,32082.2709147899,neutral,-8.678170420200331
32066.97,32074.62045739495,Buy,15.300914789899252
32057.39,32066.005228697475,Buy,17.230457394951372
32013.53,32039.767614348737,Buy,52.47522869747627
32035.52,32037.64380717437,neutral,4.247614348736533
32040.12,32038.881903587186,neutral,-2.476192825630278
32099.99,32069.435951793595,sell,-61.10809641281594
32093.17,32081.302975896797,sell,-23.734048206402804
32066.61,32073.9564879484,neutral,14.69297589679627
