date,open,high,low,close
1617913020000,57711.3,57718.23,57676.23,57680.67
1617913080000,57680.67,57693.74,57665.0,57669.99
1617913140000,57669.98,57675.0,57660.0,57666.06
1617913200000,57666.06,57730.68,57666.05,57700.66
1617913260000,57700.67,57750.0,57700.01,57743.02
1617913320000,57743.01,57750.0,57733.75,57743.12
1617913380000,57743.12,57790.13,57743.11,57770.83
1617913440000,57770.83,57819.0,57770.75,57792.23
1617913500000,57792.23,57799.41,57760.0,57777.16
1617913560000,57777.16,57777.17,57706.64,57706.64
1617913620000,57706.64,57715.95,57689.32,57702.77
1617913680000,57702.77,57740.01,57702.77,57732.72
1617913740000,57732.73,57737.23,57700.21,57710.8
1617913800000,57710.8,57724.95,57710.01,57717.79
1617913860000,57717.79,57739.71,57714.33,57739.67
1617913920000,57739.66,57739.67,57696.83,57716.71
1617913980000,57716.71,57724.63,57653.0,57659.5
1617914040000,57659.51,57702.22,57654.53,57654.53
1617914100000,57654.54,57686.4,57634.7,57648.45
1617914160000,57650.0,57660.69,57610.0,57635.82
1617914220000,57635.82,57642.98,57575.34,57602.17
1617914280000,57602.18,57619.58,57583.08,57593.2
1617914340000,57593.19,57614.66,57583.09,57614.66
1617914400000,57617.39,57695.19,57617.39,57685.89
1617914460000,57685.88,57688.59,57652.37,57655.28
1617914520000,57655.28,57702.22,57652.49,57702.21
1617914580000,57702.21,57702.22,57669.17,57669.17
1617914640000,57669.18,57699.93,57655.3,57669.69
1617914700000,57669.7,57735.33,57669.7,57716.25
1617914760000,57716.24,57743.64,57716.24,57738.9
1617914820000,57738.9,57738.91,57688.57,57695.65
1617914880000,57695.65,57719.83,57649.5,57702.89
1617914940000,57702.89,57733.5,57693.19,57711.41
1617915000000,57711.41,57725.93,57700.0,57704.54
1617915060000,57704.54,57706.63,57658.79,57662.0
1617915120000,57662.0,57662.0,57631.29,57637.78
1617915180000,57637.79,57638.8,57585.71,57611.28
1617915240000,57611.28,57657.1,57611.28,57646.01
1617915300000,57646.0,57646.01,57617.65,57620.01
1617915360000,57620.01,57668.89,57614.79,57666.28
1617915420000,57663.4,57694.11,57656.23,57688.15
1617915480000,57688.16,57690.66,57660.0,57668.81
1617915540000,57668.81,57674.84,57661.62,57674.17
1617915600000,57674.18,57674.18,57609.97,57610.0
1617915660000,57609.99,57614.72,57593.19,57599.93
1617915720000,57602.81,57602.81,57580.09,57580.09
1617915780000,57580.1,57585.11,57560.0,57562.39
